session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
2639,33,9,39,254,66,49,2,27,21,10,0039
2640,3,4,80,67,60,60,544,41,60,107,0039
2641,185,52,305,60,41,52,265,41,41,185,0039
2642,82,85,41,216,216,82,186,67,24,37,0039
2643,24,165,334,99,284,159,230,70,2727,95,0039
2644,248,97,70,45,45,70,70,156,70,186,0039
2645,284,45,70,45,70,39,70,230,70,85,0039
2646,527,527,527,52,1875,13,1248,244,38,1875,0039
2647,275,13,1875,3,2710,19,81,244,167,182,0039
2648,164,161,310,2710,61,1875,38,19,3,963,0039
2649,963,963,963,963,81,43,527,39,239,69,0039
2650,239,69,69,616,239,69,36,409,3,157,0039
2651,92,3,15,72,590,3,409,36,92,36,0039
2652,157,3,15,36,3,119,36,92,378,170,0039
2653,170,378,3,36,92,36,378,170,170,36,0039
2654,3,92,1890,36,3,36,92,36,87,5,0039
2655,128,15,117,90,108,384,564,2,22,67,0039
2656,5,107,5,22,296,15,402,296,15,18,0039
2657,22,5,44,108,90,117,102,17,5,117,0039
2658,87,20,2,2,1863,1863,37,24,105,36,0039
2659,92,3,36,3,36,92,36,213,31,6,0039
2660,10,2,3,66,49,105,66,49,66,49,0039
2661,66,49,66,49,36,92,3,92,3,36,0039
2662,36,92,36,3,66,49,49,66,66,49,0039
2663,66,49,49,66,66,49,49,66,49,66,0039
2664,66,49,66,49,66,49,49,66,49,66,0039
2665,66,66,49,49,105,1425,1425,1425,1425,1425,0039
2666,1425,49,66,66,49,66,49,66,49,66,0039
2667,49,49,66,66,49,66,49,49,66,66,0039
2668,49,66,49,66,49,2,2797,103,3,103,0039
2669,2797,136,36,3,92,409,157,36,157,92,0039
2670,119,3,36,36,3,92,87,87,36,3,0039
2671,92,36,3,92,36,3,92,36,3,92,0039
2672,37,24,24,3,2,105,92,3,119,36,0039
2673,37,567,5,36,3,92,36,299,299,36,0039
2674,3,92,87,87,36,3,92,299,36,36,0039
2675,3,92,299,36,3,92,36,87,299,87,0039
2676,36,3,92,5,105,37,24,49,66,49,0039
2677,66,66,49,66,49,66,49,66,49,15,0039
2678,72,2,1848,31,1848,3,213,2,66,49,0039
2679,24,37,777,444,5,112,508,747,38,444,0039
2680,259,444,747,10,6,66,49,107,70,66,0039
2681,49,37,24,24,185,37,24,24,85,230,0039
2682,45,70,230,24,37,185,107,185,41,70,0039
2683,229,52,305,52,82,466,95,230,15,72,0039
2684,80,2,36,3,157,36,92,3,87,5,0039
2685,15,128,3,15,87,87,92,3,36,157,0039
2686,2837,17,13,2837,38,18,5,3,44,38,0039
2687,2,13,38,342,19,36,92,3,456,5,0039
2688,211,648,481,745,36,3,92,456,85,36,0039
2689,333,218,343,203,85,251,36,3,92,193,0039
2690,36,36,3,92,293,259,36,128,36,3,0039
2691,36,92,36,87,174,85,87,36,3,92,0039
2692,5,67,6,3,2,52,105,2,36,3,0039
2693,92,87,36,87,87,36,36,92,3,2,0039
2694,3,58,31,58,3,136,58,344,526,3,0039
2695,58,105,2,2,36,3,157,92,5,36,0039
2696,52,218,36,3,157,92,87,36,87,2,0039
2697,105,36,92,36,3,36,3,87,87,36,0039
2698,92,3,87,36,87,36,3,92,299,36,0039
2699,2,2829,2829,2,3909,105,2,36,3,92,0039
2700,87,87,36,3,92,105,15,2,36,92,0039
2701,3,87,2,5,87,87,36,3,92,36,0039
2702,92,3,36,1099,36,36,92,3,36,3,0039
2703,2,105,2,2745,31,2745,106,3864,245,3896,0039
2704,106,2,3953,1431,1431,2,678,944,327,2,0039
2705,58,3,58,58,944,58,678,500,15,327,0039
2706,327,72,678,873,634,750,708,825,914,826,0039
2707,678,675,718,750,873,678,44,826,678,17,0039
2708,5,18,873,218,327,914,750,826,327,128,0039
2709,5,128,211,67,128,1866,3,2,5,67,0039
2710,327,964,456,193,327,964,868,5,964,327,0039
2711,948,500,2,500,689,718,500,675,718,500,0039
2712,500,500,1176,500,500,500,500,500,2,1096,0039
2713,1180,2834,275,226,44,1096,2,1096,1096,18,0039
2714,214,17,1096,87,5,1096,1096,1096,117,2,0039
2715,384,108,15,5,22,90,90,108,1286,73,0039
2716,107,90,90,90,73,117,22,108,5,17,0039
2717,102,18,90,402,296,5,117,90,20,500,0039
2718,500,500,500,500,31,500,500,500,500,500,0039
2719,500,500,500,500,500,500,36,3,157,92,0039
2720,3,36,3,92,157,36,3,92,36,105,0039
2721,15,2,36,36,36,3,92,299,36,36,0039
2722,2,3881,3,2,105,2,611,652,652,353,0039
2723,2253,353,611,264,2,264,264,264,264,80,0039
2724,80,264,264,264,264,31,3,2,264,264,0039
2725,353,500,36,3,92,36,105,80,67,67,0039
2726,575,827,15,72,37,24,24,15,2,564,0039
2727,384,108,117,5,107,18,22,102,5,44,0039
2728,402,17,296,5,102,20,537,3,2,80,0039
2729,67,418,4,15,72,15,15,39,15,15,0039
2730,67,21,27,3,30,9,10,24,33,37,0039
2731,24,2,384,694,108,90,117,22,5,108,0039
2732,90,15,296,107,90,67,5,108,402,17,0039
2733,44,18,5,102,90,22,591,591,5,117,0039
2734,871,591,1041,871,67,1041,871,3,784,2733,0039
2735,2768,1846,1278,20,39,254,31,6,10,85,0039
2736,213,9,2,3,52,9,109,109,109,109,0039
2737,9,164,81,310,182,167,182,167,164,161,0039
2738,43,81,2,36,36,3,36,157,92,3,0039
2739,3,36,299,36,157,92,3,5,3,5,0039
2740,15,36,36,92,3,36,87,299,24,37,0039
2741,2,213,9,87,10,105,9,66,49,112,0039
2742,138,6,49,66,49,66,9,9,2,92,0039
2743,3,36,36,3,299,4,36,3,92,3,0039
2744,170,378,37,24,170,378,24,170,36,3,0039
2745,92,378,170,378,170,170,3,36,92,3,0039
2746,299,36,3,3,92,6,10,80,80,105,0039
2747,264,264,9,6,1424,322,322,322,322,85,0039
2748,206,107,206,244,244,9,206,206,322,322,0039
2749,206,24,37,9,9,72,15,15,15,15,0039
2750,9,3,10,23,6,51,77,51,9,1290,0039
2751,2232,23,968,50,31,686,685,34,50,17,0039
2752,34,44,18,5,481,50,34,211,22,50,0039
2753,34,131,67,5,34,50,34,34,34,20,0039
2754,51,5,5,5,34,5,50,31,685,686,0039
2755,34,50,17,50,34,44,18,50,34,22,0039
2756,34,131,50,34,5,5,352,267,34,50,0039
2757,50,18,34,17,131,50,34,273,5,34,0039
2758,34,34,34,34,34,34,34,34,20,34,0039
2759,34,34,34,34,34,34,50,50,50,24,0039
2760,37,24,50,6,34,50,34,50,44,267,0039
2761,34,267,18,17,131,50,50,18,273,5,0039
2762,17,131,5,50,5,273,51,4,5,306,0039
2763,50,34,6,50,51,9,777,444,5,259,0039
2764,444,38,747,112,1181,1181,508,444,747,336,0039
2765,5,336,336,444,508,464,2284,336,336,336,0039
2766,336,2779,660,1613,5,17,660,22,44,2746,0039
2767,204,31,18,5,660,514,204,660,204,568,0039
2768,660,5,660,568,660,660,5,660,568,20,0039
2769,5,660,124,6,10,51,112,709,259,1872,0039
2770,17,5,1872,1872,44,593,124,17,5,1872,0039
2771,785,3,29,6,10,593,23,28,9,2,0039
2772,31,785,51,24,37,24,124,319,23,9,0039
2773,51,543,323,124,51,6,41,107,185,52,0039
2774,41,305,52,41,41,185,85,41,186,82,0039
2775,165,284,99,334,159,112,138,458,138,70,0039
2776,70,70,458,45,1304,45,70,45,749,229,0039
2777,15,72,248,97,2,156,592,199,592,592,0039
2778,439,592,389,592,188,199,439,188,188,188,0039
2779,1173,1873,389,188,188,389,439,44,199,188,0039
2780,18,188,5,389,17,188,439,188,199,188,0039
2781,389,188,188,188,188,199,439,188,389,124,0039
2782,1173,439,3,188,1173,199,188,389,2,458,0039
2783,70,1304,51,229,9,188,188,199,439,389,0039
2784,188,99,188,439,199,389,188,70,188,439,0039
2785,199,188,188,389,41,70,229,82,749,70,0039
2786,70,70,70,70,45,216,95,466,124,2,0039
2787,244,18,17,44,5,1889,1889,17,5,18,0039
2788,1889,1889,18,5,17,24,37,2,15,1249,0039
2789,19,38,4,51,210,633,3899,15,13,124,0039
2790,9,2724,10,15,9,30,543,51,3,2,0039
2791,2747,85,85,52,218,2718,2210,2747,2210,2209,0039
2792,2211,346,346,2209,23,2211,2209,346,2211,2718,0039
2793,2210,346,346,28,346,346,346,346,2217,346,0039
2794,6,346,346,223,1189,346,3,1189,346,1189,0039
2795,346,346,1189,1189,1189,346,1189,1189,346,346,0039
2796,346,346,2840,346,346,346,346,213,2,9,0039
2797,346,3,444,5,1181,508,5,444,1181,296,0039
2798,2818,1187,31,15,679,3863,3,612,496,780,0039
2799,2764,1451,1187,629,2725,2815,1451,3,15,2,0039
2800,323,496,10,3,77,579,655,21,27,497,0039
2801,4,6,207,15,418,4,15,15,15,21,0039
2802,27,33,30,3,9,10,23,6,51,77,0039
2803,2,27,21,10,3,323,543,4,124,60,0039
2804,60,80,67,15,72,15,15,37,24,24,0039
2805,24,15,15,60,60,15,15,67,41,544,0039
2806,107,185,52,41,52,52,305,41,82,41,0039
2807,185,85,82,107,107,107,107,107,107,52,0039
2808,165,663,99,284,663,334,159,21,27,537,0039
2809,30,3908,230,229,33,3,39,9,186,97,0039
2810,124,23,6,10,543,156,138,112,138,458,0039
2811,2227,2227,458,1304,210,45,3,3,70,45,0039
2812,70,77,1029,749,229,15,1029,3928,458,70,0039
2813,379,138,379,458,379,458,379,379,379,379,0039
2814,379,379,379,379,379,379,51,379,458,458,0039
2815,379,458,458,85,41,70,229,82,230,70,0039
2816,70,45,70,70,284,2,592,592,199,439,0039
2817,592,389,389,592,95,213,52,188,188,592,0039
2818,592,199,439,592,389,592,188,188,199,439,0039
2819,1173,1873,188,389,188,439,199,389,23,124,0039
2820,188,3,188,439,188,199,389,188,51,2,0039
2821,389,188,188,188,44,439,17,18,188,199,0039
2822,389,6,5,188,439,199,389,188,9,124,0039
2823,10,6,49,2,69,49,49,51,49,3,0039
2824,9,2,49,9,51,49,49,37,24,24,0039
2825,124,51,9,51,9,968,31,34,685,686,0039
2826,50,50,34,44,50,34,18,17,131,34,0039
2827,50,1008,5,50,34,5,50,50,267,50,0039
2828,34,50,326,17,18,326,34,50,326,342,0039
2829,50,34,5,131,50,34,19,34,5,34,0039
2830,34,34,34,34,34,34,124,39,1291,6,0039
2831,30,543,23,9,51,24,37,4,323,23,0039
2832,51,9,124,15,72,1290,23,51,34,50,0039
2833,18,44,17,34,50,131,293,50,34,5,0039
2834,3831,768,768,538,50,267,326,326,131,50,0039
2835,34,5,67,15,2,15,323,124,51,3,0039
2836,9,2,10,21,27,4,543,80,37,24,0039
2837,24,39,39,15,72,15,544,107,41,185,0039
2838,52,41,52,305,82,15,15,41,41,185,0039
2839,85,82,41,229,70,527,527,82,165,45,0039
2840,70,70,99,334,70,70,159,284,21,27,0039
2841,70,30,6,9,10,3,33,186,95,97,0039
2842,69,69,160,33,9,505,351,24,37,24,0039
2843,9,49,66,109,109,109,109,2,188,44,0039
2844,188,199,188,439,188,18,188,5,389,188,0039
2845,17,188,439,17,18,199,389,6,188,5,0039
2846,439,188,17,199,18,389,5,188,439,199,0039
2847,188,389,188,188,592,592,439,592,199,439,0039
2848,389,592,188,592,439,199,389,188,188,1873,0039
2849,1173,188,188,199,439,1173,188,389,188,389,0039
2850,188,439,199,389,188,188,188,389,199,439,0039
2851,188,37,24,24,188,439,199,389,188,188,0039
2852,188,199,188,439,439,389,188,199,18,188,0039
2853,17,389,5,9,2,3,15,2,871,784,0039
2854,871,218,1041,3776,871,3,2733,1041,2768,67,0039
2855,1846,3894,3791,1846,1041,871,31,2275,112,2265,0039
2856,2275,1041,2275,871,10,871,31,2735,1041,2264,0039
2857,647,80,647,871,44,2264,17,18,871,2264,0039
2858,1846,1448,31,2265,1448,871,2265,1448,871,1448,0039
2859,1448,1448,398,398,1041,398,1422,398,6,1041,0039
2860,398,3,2,9,31,4,398,398,398,4,0039
2861,4,6,4,418,69,239,239,69,616,69,0039
2862,239,69,69,160,81,167,161,182,310,164,0039
2863,182,164,167,161,61,93,93,93,93,93,0039
2864,93,93,93,93,93,93,61,61,549,61,0039
2865,61,61,93,61,61,244,61,41,210,81,0039
2866,43,43,527,244,72,15,15,2,244,1624,0039
2867,2,178,15,64,5,178,3,178,3,15,0039
2868,64,64,106,15,178,5,3,64,106,203,0039
2869,259,296,112,64,64,6,77,2,3,345,0039
2870,37,24,105,537,80,37,24,24,210,72,0039
2871,3,15,15,2,876,1184,876,3,15,876,0039
2872,1184,106,106,112,237,2786,259,876,876,1184,0039
2873,302,302,408,555,1036,408,408,408,555,822,0039
2874,302,31,31,822,302,22,408,5,6,408,0039
2875,15,22,302,15,193,408,1296,107,1296,1871,0039
2876,1620,85,302,22,20,2,3,117,2,694,0039
2877,15,117,5,108,90,90,384,22,5,90,0039
2878,22,108,108,90,1286,52,5,52,214,22,0039
2879,44,5,90,117,108,17,87,90,102,18,0039
2880,5,402,5,296,117,22,87,20,3,2,0039
2881,31,6,10,107,41,544,185,52,41,52,0039
2882,305,82,41,41,185,85,82,165,99,70,0039
2883,70,45,70,45,45,334,230,70,159,749,0039
2884,70,284,156,186,156,97,70,3772,416,903,0039
2885,416,249,249,2807,2807,229,2,92,36,3,0039
2886,2,36,3,157,128,327,19,678,944,343,0039
2887,15,333,5,293,330,67,293,678,678,675,0039
2888,634,708,825,718,826,678,750,873,914,5,0039
2889,648,36,211,873,750,481,456,745,327,44,0039
2890,218,3,17,327,5,157,92,18,5,85,0039
2891,128,230,128,73,67,36,128,193,218,203,0039
2892,1866,211,193,964,327,5,128,85,3,2,0039
2893,128,456,964,964,868,964,327,948,70,36,0039
2894,3,36,92,36,73,342,52,203,251,70,0039
2895,246,259,330,45,70,70,45,70,174,36,0039
2896,3,92,456,73,36,36,3,92,73,36,0039
2897,36,3,92,73,36,36,3,92,330,73,0039
2898,36,689,718,3,2,1176,330,330,330,230,0039
2899,330,105,330,675,718,675,825,330,330,330,0039
2900,330,37,24,24,330,330,330,330,330,330,0039
2901,330,330,330,330,330,330,330,330,330,330,0039
2902,330,330,330,330,330,330,330,330,330,330,0039
2903,330,37,24,330,330,418,72,15,4,15,0039
2904,15,15,15,15,107,185,41,185,70,229,0039
2905,52,305,82,230,70,21,10,27,30,33,0039
2906,6,3,124,9,77,24,37,24,51,138,0039
2907,112,266,453,67,453,218,218,420,323,266,0039
2908,266,453,420,3885,166,166,166,3813,166,166,0039
2909,166,44,22,166,6,18,166,17,5,22,0039
2910,166,22,5,166,166,166,166,166,166,166,0039
2911,166,22,166,263,166,244,263,22,263,17,0039
2912,18,22,166,263,166,5,263,263,166,166,0039
2913,263,22,17,18,263,22,5,3832,217,217,0039
2914,217,263,263,166,263,22,263,18,22,17,0039
2915,5,22,263,166,263,166,166,263,22,18,0039
2916,263,22,17,5,22,166,263,5,263,166,0039
2917,166,166,22,263,17,18,263,5,22,263,0039
2918,5,166,166,166,22,263,17,18,263,5,0039
2919,22,22,5,20,263,166,166,263,166,18,0039
2920,5,22,17,263,453,263,22,17,18,5,0039
2921,22,22,166,263,166,22,18,5,17,263,0039
2922,5,263,166,18,166,263,22,5,17,5,0039
2923,22,263,166,166,263,5,17,18,166,22,0039
2924,263,166,20,17,5,18,263,22,166,263,0039
2925,5,9,20,544,41,41,41,82,85,6,0039
2926,165,70,99,70,70,45,230,159,45,70,0039
2927,284,330,70,156,446,446,70,229,41,82,0039
2928,45,3,2,9,446,37,24,41,544,41,0039
2929,82,9,9,2,27,21,10,3,4,39,0039
2930,39,39,85,80,67,72,418,4,15,15,0039
2931,15,37,24,24,210,67,2,36,36,3,0039
2932,36,157,92,36,3,15,5,211,648,481,0039
2933,745,456,15,157,92,36,409,3,36,36,0039
2934,3,119,36,92,342,2,117,90,108,564,0039
2935,5,108,90,296,15,402,17,5,117,102,0039
2936,384,44,90,22,18,108,107,402,102,5,0039
2937,117,2,58,58,31,3,2,58,31,21,0039
2938,27,58,136,3,58,90,58,20,5,790,0039
2939,10,790,790,5,790,90,30,33,6,105,0039
2940,3,213,9,31,2,36,92,36,3,157,0039
2941,3,15,3,456,85,218,85,36,3,157,0039
2942,92,293,36,409,92,3,36,3,119,92,0039
2943,259,174,36,92,3,52,2,58,58,136,0039
2944,58,128,251,246,3,39,23,10,6,254,0039
2945,9,105,2,346,85,2,52,346,2217,223,0039
2946,346,346,346,346,2,557,555,69,557,69,0039
2947,555,555,557,69,557,69,1288,31,1183,1183,0039
2948,69,2,1032,226,1032,22,275,2,5,1032,0039
2949,1032,658,823,22,53,26,588,1032,296,1882,0039
2950,1032,1882,1882,5,22,1882,20,3,22,9,0039
2951,2,10,6,3782,2,3,9,2,2,138,0039
2952,112,3,9,2,24,37,24,24,198,198,0039
2953,198,198,302,198,2242,866,198,198,198,198,0039
2954,198,198,962,875,967,972,16,16,16,16,0039
2955,16,16,16,16,16,16,16,16,16,16,0039
2956,16,16,16,16,16,16,16,16,16,16,0039
2957,16,16,16,16,16,16,16,16,16,16,0039
2958,16,16,16,16,16,16,16,16,16,16,0039
2959,16,16,9,16,16,16,16,16,16,16,0039
2960,16,16,16,16,16,16,16,16,16,16,0039
2961,16,16,16,16,16,16,16,16,16,16,0039
2962,16,16,16,16,16,16,16,16,16,16,0039
2963,16,16,16,16,16,16,16,16,16,16,0039
2964,16,16,16,16,16,16,16,16,16,16,0039
2965,16,16,16,16,16,16,16,16,16,16,0039
2966,16,16,16,16,16,16,16,16,16,16,0039
2967,16,16,16,16,16,16,16,16,16,16,0039
2968,16,16,16,16,16,16,16,16,16,16,0039
2969,16,16,16,16,16,16,16,16,16,16,0039
2970,16,16,16,16,16,16,16,16,16,16,0039
2971,16,16,16,16,16,16,16,16,16,16,0039
2972,16,16,16,16,16,16,16,16,16,16,0039
2973,16,16,16,16,16,16,16,16,16,16,0039
2974,16,16,16,16,16,16,16,16,16,16,0039
2975,16,16,16,16,16,16,16,16,198,67,0039
2976,85,67,52,20,46,2,3800,1153,2,170,0039
2977,69,49,852,128,203,211,211,170,170,211,0039
2978,49,296,49,481,211,5,1421,1421,22,149,0039
2979,46,2781,2,3773,2843,44,22,22,344,17,0039
2980,18,5,3,1421,20,46,9,22,16,16,0039
2981,613,1095,16,613,16,46,2,10,6,46,0039
2982,46,46,46,109,109,109,46,9,46,46,0039
2983,46,46,37,24,24,46,4,46,46,2242,0039
2984,2242,46,46,164,81,61,93,93,93,93,0039
2985,46,93,46,81,43,46,46,46,9,93,0039
2986,93,46,46,93,93,93,93,93,93,46,0039
2987,46,46,46,6,46,46,138,112,46,46,0039
2988,46,37,24,46,46,9,46,46,223,242,0039
2989,242,223,242,223,1103,242,223,1103,242,223,0039
2990,242,223,242,223,242,223,242,223,223,242,0039
2991,242,223,242,223,242,223,242,223,242,223,0039
2992,223,242,242,223,242,223,242,223,223,242,0039
2993,242,223,223,242,223,242,223,46,242,223,0039
2994,242,223,223,242,242,223,242,223,223,242,0039
2995,223,242,242,223,223,242,242,223,242,223,0039
2996,223,242,242,223,223,242,242,223,223,242,0039
2997,223,242,242,223,242,223,242,223,242,223,0039
2998,223,242,223,242,223,223,242,242,223,242,0039
2999,223,223,223,242,223,242,223,242,242,223,0039
3000,223,242,242,223,223,242,223,242,242,223,0039
3001,242,223,223,242,223,242,242,223,223,242,0039
3002,223,242,242,223,223,242,223,242,242,223,0039
3003,223,242,46,46,46,1869,1033,693,872,966,0039
3004,824,717,482,31,154,3920,2800,1297,717,966,0039
3005,780,1874,320,2252,1033,154,824,154,154,46,0039
3006,320,154,154,154,13,2712,2712,154,154,154,0039
3007,154,482,780,974,154,780,320,2760,482,320,0039
3008,154,154,154,824,482,1874,320,154,482,1887,0039
3009,482,320,154,482,1563,154,1887,320,482,154,0039
3010,3957,320,154,154,482,320,154,3964,2249,482,0039
3011,154,320,154,154,693,974,46,320,154,482,0039
3012,482,1623,2803,1887,3868,320,154,154,2800,320,0039
3013,2249,482,2252,2802,1297,1623,966,1887,154,320,0039
3014,1615,154,154,482,2803,320,693,482,497,320,0039
3015,154,974,320,154,482,3900,482,872,320,154,0039
3016,154,154,320,2830,154,154,2830,320,31,1108,0039
3017,1108,218,2794,52,1108,1099,1108,1108,46,2826,0039
3018,2246,2246,1892,2826,3,2246,860,1892,1892,13,0039
3019,1892,608,3815,31,9,2840,346,346,242,223,0039
3020,346,3,37,24,15,72,2,31,523,523,0039
3021,31,31,523,4,31,523,523,523,3,9,0039
3022,2,15,33,3,6,23,10,51,77,9,0039
3023,1100,1290,23,51,968,50,34,31,44,686,0039
3024,685,50,34,50,17,18,34,22,34,50,0039
3025,34,131,5,50,203,34,5,50,34,34,0039
3026,5,34,34,5,34,34,5,20,34,5,0039
3027,5,5,267,50,34,50,352,34,34,18,0039
3028,17,34,5,131,50,343,50,13,273,34,0039
3029,34,3844,34,550,34,395,34,395,395,258,0039
3030,34,258,258,34,34,34,34,34,34,34,0039
3031,34,34,34,34,267,50,50,17,18,34,0039
3032,131,50,5,50,34,50,34,20,124,34,0039
3033,6,50,306,5,50,267,50,34,273,5,0039
3034,50,193,131,67,50,34,51,9,6,9,0039
3035,777,5,444,1181,38,747,259,112,508,444,0039
3036,1181,444,747,66,49,124,24,37,24,51,0039
3037,10,6,3,9,124,51,398,398,1422,1041,0039
3038,398,398,398,1422,398,9,398,398,398,398,0039
3039,398,398,398,398,398,398,398,398,398,398,0039
3040,398,1422,1422,398,398,1422,398,398,398,398,0039
3041,398,398,398,398,398,33,124,2283,103,2,0039
3042,103,2283,3,2,136,2283,103,36,3,92,0039
3043,36,157,526,344,36,344,1099,333,6,51,0039
3044,543,3,2,105,9,51,9,37,24,4,0039
3045,51,323,51,9,66,49,66,49,66,49,0039
3046,72,15,49,2,49,66,66,49,49,66,0039
3047,49,66,49,66,49,66,66,49,66,49,0039
3048,49,66,323,3,213,9,2,2,2781,2843,0039
3049,22,44,22,18,344,17,5,20,109,109,0039
3050,109,22,3,9,2,6,2,3,15,9,0039
3051,3,6,27,10,21,4,80,67,67,575,0039
3052,60,60,37,24,60,24,24,67,60,72,0039
3053,15,15,15,15,39,2,2,62,54,142,0039
3054,62,86,54,21,27,30,6,10,33,1450,0039
3055,2,1450,15,106,3,106,1562,259,625,112,0039
3056,245,106,3897,173,3,9,85,2,6,10,0039
3057,52,9,2,3,4,6,27,21,10,3,0039
3058,39,15,72,15,827,37,24,3890,2,2,0039
3059,3,103,1878,3,1878,136,1878,526,344,5,0039
3060,2,3958,1438,275,1438,3,1878,3,6,2,0039
3061,39,80,15,72,2,62,54,86,54,62,0039
3062,2,36,36,3947,3,92,157,36,3,36,0039
3063,15,3,3,37,24,24,49,66,6,3,0039
3064,2,105,3,36,409,157,92,3,73,36,0039
3065,36,119,36,3,92,3,36,128,73,1099,0039
3066,36,737,590,31,36,3,92,73,36,3,0039
3067,92,36,3,36,3,92,3,36,3,92,0039
3068,36,3,92,73,36,3,36,92,36,36,0039
3069,3,73,105,2,58,31,3,58,136,66,0039
3070,49,2,39,67,80,60,60,107,185,544,0039
3071,41,41,52,305,15,72,15,15,82,41,0039
3072,185,60,60,85,82,67,15,15,37,24,0039
3073,24,165,70,70,70,99,70,334,159,284,0039
3074,45,230,186,97,156,21,27,30,3,10,0039
3075,33,6,39,39,45,70,70,70,70,9,0039
3076,69,160,69,527,527,70,45,230,70,85,0039
3077,210,161,182,164,81,167,43,310,164,182,0039
3078,161,167,93,239,69,239,69,69,239,43,0039
3079,81,616,239,69,52,43,9,527,70,45,0039
3080,230,15,15,9,3,23,124,6,10,543,0039
3081,36,51,36,92,157,119,36,3,3,36,0039
3082,3,3,3,3763,2259,73,2259,5,77,36,0039
3083,3,2259,92,157,3,36,3,92,3,230,0039
3084,2,69,69,555,557,555,1288,69,557,1183,0039
3085,31,69,2,58,3,31,2831,2,31,58,0039
3086,58,3,136,2831,58,10,105,213,3,9,0039
3087,2,51,24,37,24,66,49,9,70,45,0039
3088,230,51,49,66,9,230,66,51,66,49,0039
3089,66,49,51,9,66,49,49,66,49,66,0039
3090,49,66,66,49,9,37,24,24,4,51,0039
3091,244,66,49,66,49,66,49,9,66,66,0039
3092,49,49,9,323,93,49,66,66,49,66,0039
3093,49,49,51,244,9,210,210,244,37,24,0039
3094,24,24,244,9,85,230,45,3,213,2,0039
3095,23,9,523,523,31,523,523,523,9,51,0039
3096,9,51,24,37,527,4,51,9,210,9,0039
3097,239,69,239,69,239,69,616,244,323,36,0039
3098,157,119,92,3,3,464,36,3,92,157,0039
3099,36,299,36,3,92,299,36,36,92,3,0039
3100,73,36,6,10,105,51,66,49,49,69,0039
3101,49,49,66,66,49,66,49,9,37,24,0039
3102,9,51,66,49,9,66,49,9,72,15,0039
3103,2,86,142,54,62,86,3,9,2,24,0039
3104,37,66,49,4,51,9,107,185,41,185,0039
3105,70,229,305,52,2,9,82,15,3,50,0039
3106,31,34,480,50,685,686,17,50,34,44,0039
3107,18,34,131,5,50,34,230,50,34,34,0039
3108,34,34,34,5,5,34,5,50,50,34,0039
3109,267,34,50,352,17,18,50,34,5,273,0039
3110,50,131,5,34,34,34,34,34,34,34,0039
3111,34,34,34,34,34,34,95,34,34,34,0039
3112,34,50,50,34,34,5,306,50,34,323,0039
3113,3,10,27,21,4,66,49,6,66,49,0039
3114,24,37,49,66,244,36,119,3,157,92,0039
3115,73,3,36,36,92,3,157,36,92,36,0039
3116,3,299,105,80,67,15,72,15,15,15,0039
3117,15,67,50,50,31,34,685,686,480,50,0039
3118,44,50,34,17,18,34,50,34,34,131,0039
3119,590,5,31,50,5,737,34,50,34,34,0039
3120,34,34,34,50,5,1628,355,509,34,355,0039
3121,355,22,50,18,34,17,22,52,34,131,0039
3122,355,5,34,355,509,737,3891,34,34,13,0039
3123,3836,34,941,810,217,217,34,107,34,34,0039
3124,34,34,34,46,34,34,34,34,34,34,0039
3125,34,34,34,34,20,34,34,34,34,34,0039
3126,34,34,50,34,267,34,352,50,18,50,0039
3127,34,17,22,50,50,50,131,50,50,737,0039
3128,34,273,5,21,27,30,3,9,10,33,0039
3129,15,15,15,20,24,37,24,24,149,22,0039
3130,39,355,355,3,9,23,6,10,355,51,0039
3131,77,85,509,355,306,5,52,1100,124,50,0039
3132,51,34,267,50,34,50,34,17,18,22,0039
3133,50,34,131,5,50,34,273,50,6,20,0039
3134,5,306,50,6,34,5,306,34,50,50,0039
3135,51,34,34,131,13,193,50,80,9,50,0039
3136,5,13,22,50,50,50,34,273,34,1293,0039
3137,131,34,5,34,193,34,34,34,34,34,0039
3138,34,34,34,50,267,34,50,131,50,273,0039
3139,193,5,34,124,5,306,34,50,34,50,0039
3140,34,131,50,34,50,131,34,34,5,34,0039
3141,34,34,34,34,34,34,34,5,5,5,0039
3142,34,34,34,34,34,34,50,50,34,267,0039
3143,44,50,18,17,5,131,50,273,50,50,0039
3144,267,34,352,50,18,17,131,50,50,273,0039
3145,5,50,34,6,306,5,50,34,50,51,0039
3146,34,306,5,50,50,444,5,777,747,1181,0039
3147,508,38,444,112,1181,259,3956,444,747,204,0039
3148,5,44,17,18,444,5,508,1099,305,514,0039
3149,204,5,568,204,5,444,444,107,185,41,0039
3150,41,52,52,41,185,41,70,82,85,10,0039
3151,284,99,159,334,6,70,186,97,70,112,0039
3152,138,138,458,45,70,70,1304,458,138,379,0039
3153,458,379,749,70,229,458,379,138,379,379,0039
3154,379,379,458,379,379,379,379,379,379,51,0039
3155,379,379,156,379,379,379,379,379,379,379,0039
3156,379,379,379,379,138,379,458,458,1304,458,0039
3157,458,458,1304,458,458,458,458,99,458,458,0039
3158,458,458,458,31,458,458,1304,229,24,37,0039
3159,24,2,199,592,439,592,389,592,389,592,0039
3160,188,188,199,439,188,1173,1873,389,188,1173,0039
3161,188,3,2,9,389,188,188,439,199,389,0039
3162,188,188,99,188,188,439,199,389,188,389,0039
